Var1,Var2
"MicrophoneSB_Specimens1_1.txt","SoftBone"
"MicrophoneSB_Specimens1_2.txt","SoftBone"
"MicrophoneSB_Specimens1_3.txt","SoftBone"
"MicrophoneSB_Specimens1_4.txt","SoftBone"
"MicrophoneSB_Specimens1_5.txt","SoftBone"
"MicrophoneSB_Specimens1_6.txt","SoftBone"
"MicrophoneSB_Specimens1_7.txt","SoftBone"
"MicrophoneSB_Specimens1_8.txt","SoftBone"
"MicrophoneSB_Specimens1_9.txt","SoftBone"
"MicrophoneSB_Specimens1_10.txt","SoftBone"
"MicrophoneSB_Specimens1_11.txt","SoftBone"
"MicrophoneSB_Specimens1_12.txt","SoftBone"
"MicrophoneSB_Specimens1_13.txt","SoftBone"
"MicrophoneSB_Specimens1_14.txt","SoftBone"
"MicrophoneSB_Specimens1_15.txt","SoftBone"
"MicrophoneSB_Specimens1_16.txt","SoftBone"
"MicrophoneSB_Specimens1_17.txt","SoftBone"
"MicrophoneSB_Specimens1_18.txt","SoftBone"
"MicrophoneSB_Specimens1_19.txt","SoftBone"
"MicrophoneSB_Specimens1_20.txt","SoftBone"
"MicrophoneSB_Specimens1_21.txt","SoftBone"
"MicrophoneSB_Specimens1_22.txt","SoftBone"
"MicrophoneSB_Specimens1_23.txt","SoftBone"
"MicrophoneSB_Specimens1_24.txt","SoftBone"
"MicrophoneSB_Specimens1_25.txt","SoftBone"
"MicrophoneSB_Specimens1_26.txt","SoftBone"
"MicrophoneSB_Specimens1_27.txt","SoftBone"
"MicrophoneSB_Specimens1_28.txt","SoftBone"
"MicrophoneSB_Specimens1_29.txt","SoftBone"
"MicrophoneSB_Specimens1_30.txt","SoftBone"
"MicrophoneSB_Specimens1_31.txt","SoftBone"
"MicrophoneSB_Specimens1_32.txt","SoftBone"
"MicrophoneSB_Specimens1_33.txt","SoftBone"
"MicrophoneSB_Specimens1_34.txt","SoftBone"
"MicrophoneSB_Specimens1_35.txt","SoftBone"
"MicrophoneSB_Specimens1_36.txt","SoftBone"
"MicrophoneSB_Specimens1_37.txt","SoftBone"
"MicrophoneSB_Specimens1_38.txt","SoftBone"
"MicrophoneSB_Specimens1_39.txt","SoftBone"
"MicrophoneSB_Specimens1_40.txt","SoftBone"
"MicrophoneSB_Specimens1_41.txt","SoftBone"
"MicrophoneSB_Specimens1_42.txt","SoftBone"
"MicrophoneSB_Specimens1_43.txt","SoftBone"
"MicrophoneSB_Specimens1_44.txt","SoftBone"
"MicrophoneSB_Specimens1_45.txt","SoftBone"
"MicrophoneSB_Specimens1_46.txt","SoftBone"
"MicrophoneSB_Specimens1_47.txt","SoftBone"
"MicrophoneSB_Specimens1_48.txt","SoftBone"
"MicrophoneSB_Specimens1_49.txt","SoftBone"
"MicrophoneSB_Specimens1_50.txt","SoftBone"
"MicrophoneSB_Specimens1_51.txt","SoftBone"
"MicrophoneSB_Specimens1_52.txt","SoftBone"
